period,year,quarter,indicator_id,indicator_name,value_yi_yuan,yoy_pct,source_file
2003-Q4,2003,4,indicator-gdp-secondary,第二产业增加值,4830,16.6,浙江省第二产业季度.xlsx
2003-Q4,2003,4,indicator-gdp-tertiary,第三产业增加值,3648,13.2,浙江省第三产业季度.xlsx
2004-Q1,2004,1,indicator-gdp-primary,第一产业增加值,128,2.2,浙江省第一产业季度.xlsx
2004-Q1,2004,1,indicator-gdp-secondary,第二产业增加值,1248,16.8,浙江省第二产业季度.xlsx
2004-Q1,2004,1,indicator-gdp-tertiary,第三产业增加值,1009,14.7,浙江省第三产业季度.xlsx
2004-Q2,2004,2,indicator-gdp-primary,第一产业增加值,328,2.3,浙江省第一产业季度.xlsx
2004-Q2,2004,2,indicator-gdp-secondary,第二产业增加值,2732,17.8,浙江省第二产业季度.xlsx
2004-Q2,2004,2,indicator-gdp-tertiary,第三产业增加值,2050,14.9,浙江省第三产业季度.xlsx
2004-Q3,2004,3,indicator-gdp-primary,第一产业增加值,488,2.5,浙江省第一产业季度.xlsx
2004-Q3,2004,3,indicator-gdp-secondary,第二产业增加值,4293,16.9,浙江省第二产业季度.xlsx
2004-Q3,2004,3,indicator-gdp-tertiary,第三产业增加值,3089,13.8,浙江省第三产业季度.xlsx
2004-Q4,2004,4,indicator-gdp-primary,第一产业增加值,816,3.7,浙江省第一产业季度.xlsx
2004-Q4,2004,4,indicator-gdp-secondary,第二产业增加值,6045,16.2,浙江省第二产业季度.xlsx
2004-Q4,2004,4,indicator-gdp-tertiary,第三产业增加值,4382,13.9,浙江省第三产业季度.xlsx
2005-Q1,2005,1,indicator-gdp-primary,第一产业增加值,142.07,1.9,浙江省第一产业季度.xlsx
2005-Q1,2005,1,indicator-gdp-secondary,第二产业增加值,1469.54,14.5,浙江省第二产业季度.xlsx
2005-Q1,2005,1,indicator-gdp-tertiary,第三产业增加值,1134.48,10.7,浙江省第三产业季度.xlsx
2005-Q2,2005,2,indicator-gdp-primary,第一产业增加值,353.31,2.9,浙江省第一产业季度.xlsx
2005-Q2,2005,2,indicator-gdp-secondary,第二产业增加值,3418.72,13,浙江省第二产业季度.xlsx
2005-Q2,2005,2,indicator-gdp-tertiary,第三产业增加值,2321.97,11.8,浙江省第三产业季度.xlsx
2005-Q3,2005,3,indicator-gdp-primary,第一产业增加值,531.6,2.3,浙江省第一产业季度.xlsx
2005-Q3,2005,3,indicator-gdp-secondary,第二产业增加值,4982.98,13.3,浙江省第二产业季度.xlsx
2005-Q3,2005,3,indicator-gdp-tertiary,第三产业增加值,3501.42,12,浙江省第三产业季度.xlsx
